State,Petrol_Rate,Diesel_Rate,Date
Andaman And Nicobar,91.45,84.94,2021-11-05
Andhra Pradesh,115.62,100.71,2021-11-05
Arunachal Pradesh,104.0,90.4,2021-11-05
Assam,105.69,91.16,2021-11-05
Bihar,115.07,99.58,2021-11-05
Chandigarh,105.22,90.8,2021-11-05
Chhatisgarh,108.12,99.41,2021-11-05
Dadra And Nagar Haveli,104.15,96.84,2021-11-05
Daman And Diu,104.03,96.77,2021-11-05
Delhi,109.34,91.42,2021-11-05
Goa,107.12,96.58,2021-11-05
Gujarat,105.94,98.53,2021-11-05
Haryana,106.44,91.67,2021-11-05
Himachal Pradesh,105.29,89.57,2021-11-05
Jammu And Kashmir,111.04,94.75,2021-11-05
Jharkhand,103.84,96.68,2021-11-05
Karnataka,113.73,97.32,2021-11-05
Kerala,110.46,97.2,2021-11-05
Madhya Pradesh,119.42,101.35,2021-11-05
Maharashtra,115.33,97.56,2021-11-05
Manipur,111.09,92.31,2021-11-05
Meghalaya,104.22,89.78,2021-11-05
Mizoram,106.51,90.9,2021-11-05
Nagaland,107.99,93.63,2021-11-05
Odisha,112.64,101.03,2021-11-05
Pondicherry,107.13,95.17,2021-11-05
Punjab,111.08,94.12,2021-11-05
Rajasthan,116.64,100.78,2021-11-05
Sikkim,110.25,93.75,2021-11-05
Tamil Nadu,107.18,97.16,2021-11-05
Telangana,115.91,102.03,2021-11-05
Tripura,109.42,94.85,2021-11-05
Uttar Pradesh,106.41,91.64,2021-11-05
Uttarakhand,105.97,92.4,2021-11-05
West Bengal,110.96,95.63,2021-11-05
Andaman And Nicobar,82.96,77.13,2021-11-07
Andhra Pradesh,110.39,96.45,2021-11-07
Arunachal Pradesh,94.64,82.1,2021-11-07
Assam,95.2,81.75,2021-11-07
Bihar,107.97,93.0,2021-11-07
Chandigarh,94.23,80.9,2021-11-07
Chhatisgarh,102.83,94.72,2021-11-07
Dadra And Nagar Haveli,93.21,87.09,2021-11-07
Daman And Diu,93.02,86.9,2021-11-07
Delhi,103.97,86.67,2021-11-07
